exchange,chain,block_height,ts,address,contract_name,contract_address,contract_ticker_symbol,balance
binance,ethereum,14730462,2022-05-07 14:59:39,0x6da830c1d92b6caa25d085f6b9124cd3dd08c056,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,9000
gate,ethereum,14730462,2022-05-07 14:59:39,0x156135804a755fd909c8f30e2699769bd423ba08,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,8367.040954
gate,ethereum,14730462,2022-05-07 14:59:39,0xb2bedd1a7e560df5a5b456c5dc5b139145bbc596,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,8306.49
gate,ethereum,14730462,2022-05-07 14:59:39,0xf01f927ef954dd77d5a4e6a76ea59019aeaf2f9c,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,8051
gate,ethereum,14730462,2022-05-07 14:59:39,0x57f0093d937c5a45f80990ac20f83d402f0cda5d,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,8000.358809
gate,ethereum,14730462,2022-05-07 14:59:39,0x103868b4277f4099e85ca2954232746e883349e6,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,7650.370149
binance,ethereum,14730462,2022-05-07 14:59:39,0x58c4114b0bba7dbd1b4db32ea6c6f439c67c1859,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,7530.129416
gate,ethereum,14730462,2022-05-07 14:59:39,0x13307b8854a95946b54a904100afd0767a7a577b,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,7024.550732
binance,ethereum,14730462,2022-05-07 14:59:39,0x5b74848b5b887d215e7f7d12fd7063edd13fa6d4,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,6836.327345
gate,ethereum,14730462,2022-05-07 14:59:39,0x94ecc89f08bb88b2d7ae3cb42a560adff801e723,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,6644.69
gate,ethereum,14730462,2022-05-07 14:59:39,0x6906aff095ba9062101864c03d3e1bc747b79b27,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,6507.17617
gate,ethereum,14730462,2022-05-07 14:59:39,0xa73d1f5a49892241757fc1d6f46ff74e5dcbbab6,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,5921.033459
bybit,ethereum,14730462,2022-05-07 14:59:39,0x495ffead622eea24057def019729e504f10f53e9,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,5668
gate,ethereum,14730462,2022-05-07 14:59:39,0x3d396b7af0f4dc6cb59cebed2c03c583e2b16a38,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,5421.784524
gate,ethereum,14730462,2022-05-07 14:59:39,0xf748b07d9ab5ab3a207ac4d2d29585cc5794d00b,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,5403
binance,ethereum,14730462,2022-05-07 14:59:39,0x6f387f071e415a5bd755cd8556ceb636e8401219,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,5280.24
gate,ethereum,14730462,2022-05-07 14:59:39,0xe90267f0d146e52bc975a0b9d4f8c33e2da84bac,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,5187.353214
gate,ethereum,14730462,2022-05-07 14:59:39,0x503b9ec7e25a3d47d90cd2d873ed8257358b4a26,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,5167.528174
gate,ethereum,14730462,2022-05-07 14:59:39,0x14f0f4a50418f13e996977d62a0bb4599b59af35,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,5098.099943
gate,ethereum,14730462,2022-05-07 14:59:39,0x9a88dd5477c132b3335254590b10a08f44adc0a3,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,5093.3348
gate,ethereum,14730462,2022-05-07 14:59:39,0x8c999f9adfca9648f43e8232e4409b5e78da4dfd,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,5045.078491
binance,ethereum,14730462,2022-05-07 14:59:39,0xbc8a093b40c9aff5c1a4e1629c9f4fbfe2e6c843,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,5010
gate,ethereum,14730462,2022-05-07 14:59:39,0x8d8b019eef80172d439d2354585fedc60dda9f47,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,4979.282291
