height,address,token,amt
7544910,cre107wnr8v9yx4nqg4rjns22lq4vkgf2hzytxpkrq,UST,220.563013
7544910,cre107wnr8v9yx4nqg4rjns22lq4vkgf2hzytxpkrq,LUNA,1.356393
7544910,cre107ydngmwyw4dhmr3mlmst6sgq2kskjk5rvytj8,UST,3.841335
7544910,cre10893eq4mmxmjstyanhx33x0ae89gqf8mph2mfe,LUNA,9.880822
7544910,cre108d0mryw6llcfmd73vz599hxehzqrmqj7y9897,LUNA,1.483362
7544910,cre108d3l7ms0ymy2yr9zty4766dtan5643t4gra0y,LUNA,3.955446
7544910,cre108d3l7ms0ymy2yr9zty4766dtan5643t4gra0y,UST,307.425278
7544910,cre108f6c5u6h4zg97v78fwj6u42wwy49f86dr6wfl,UST,27.662064
7544910,cre108ll2lhc4wp7grcqayccsk6j6llq4z6txmfa79,UST,33.769739
7544910,cre108lmtazu2d44zzdylz8ednw7tapwvxfqfa3zdr,UST,3.095778
7544910,cre108m6mvhujyx75p0y53p0dwfad536jjwrhdcyf4,UST,15937.069642
7544910,cre108m6mvhujyx75p0y53p0dwfad536jjwrhdcyf4,LUNA,371.585395
7544910,cre108nm3f66cllgj70q6aumctc7cslkn3vspjyac5,LUNA,0.251101
7544910,cre108nm3f66cllgj70q6aumctc7cslkn3vspjyac5,UST,43.747408
7544910,cre108pvkgt4yvrscqju02st3ac2nfs0r77x79ny98,UST,48.576898
7544910,cre108rqwjaffph0lvdyd7fc7tpnrx4n8h4r45vvd4,UST,6514.223848
7544910,cre108rqwjaffph0lvdyd7fc7tpnrx4n8h4r45vvd4,LUNA,3.299616
7544910,cre108rx75v3uacedk5lqhe6l028ux4x863uvp7n2t,UST,0.08535
7544910,cre108tjg8j6x3cl0dya2wvr6dzu8rpva90sqv0jhh,UST,1.662642
7544910,cre1095vrq85799zx7wqs02luecp66k7enyx2mv6jj,UST,101.472222
7544910,cre109as32auw8xdurf72gclyk26ulml297khu27mm,UST,5482.254046
7544910,cre109as32auw8xdurf72gclyk26ulml297khu27mm,LUNA,64.784173
7544910,cre109jutq7jyxqycls4fpn9shp9ep8370vy9jgmc6,LUNA,0.473541
7544910,cre109l349qjxynw6ay08s8uahw0g4at2q42d0f8ul,UST,0.003328
7544910,cre109n94azfqamgwl6g4n7q3xkpyr9kywp9a57rwa,UST,59.391892
7544910,cre109sj2varvep552c075yzx77cgnsqll9fgsfjq3,UST,374.324455
